class_path,file_path
0,ISL_Dataset\custom_images\0\0_0.jpg
0,ISL_Dataset\custom_images\0\0_1.jpg
0,ISL_Dataset\custom_images\0\0_10.jpg
0,ISL_Dataset\custom_images\0\0_100.jpg
0,ISL_Dataset\custom_images\0\0_1000.jpg
0,ISL_Dataset\custom_images\0\0_1001.jpg
0,ISL_Dataset\custom_images\0\0_1002.jpg
0,ISL_Dataset\custom_images\0\0_1003.jpg
0,ISL_Dataset\custom_images\0\0_1004.jpg
0,ISL_Dataset\custom_images\0\0_1005.jpg
0,ISL_Dataset\custom_images\0\0_1006.jpg
0,ISL_Dataset\custom_images\0\0_1007.jpg
0,ISL_Dataset\custom_images\0\0_1008.jpg
0,ISL_Dataset\custom_images\0\0_1009.jpg
0,ISL_Dataset\custom_images\0\0_101.jpg
0,ISL_Dataset\custom_images\0\0_1010.jpg
0,ISL_Dataset\custom_images\0\0_1011.jpg
0,ISL_Dataset\custom_images\0\0_1012.jpg
0,ISL_Dataset\custom_images\0\0_1013.jpg
0,ISL_Dataset\custom_images\0\0_1014.jpg
0,ISL_Dataset\custom_images\0\0_1015.jpg
0,ISL_Dataset\custom_images\0\0_1016.jpg
0,ISL_Dataset\custom_images\0\0_1017.jpg
0,ISL_Dataset\custom_images\0\0_1018.jpg
0,ISL_Dataset\custom_images\0\0_1019.jpg
0,ISL_Dataset\custom_images\0\0_102.jpg
0,ISL_Dataset\custom_images\0\0_1020.jpg
0,ISL_Dataset\custom_images\0\0_1021.jpg
0,ISL_Dataset\custom_images\0\0_1022.jpg
0,ISL_Dataset\custom_images\0\0_1023.jpg
0,ISL_Dataset\custom_images\0\0_1024.jpg
0,ISL_Dataset\custom_images\0\0_1025.jpg
0,ISL_Dataset\custom_images\0\0_1026.jpg
0,ISL_Dataset\custom_images\0\0_1027.jpg
0,ISL_Dataset\custom_images\0\0_1028.jpg
0,ISL_Dataset\custom_images\0\0_1029.jpg
0,ISL_Dataset\custom_images\0\0_103.jpg
0,ISL_Dataset\custom_images\0\0_1030.jpg
0,ISL_Dataset\custom_images\0\0_1031.jpg
0,ISL_Dataset\custom_images\0\0_1032.jpg
0,ISL_Dataset\custom_images\0\0_1033.jpg
0,ISL_Dataset\custom_images\0\0_1034.jpg
0,ISL_Dataset\custom_images\0\0_1035.jpg
0,ISL_Dataset\custom_images\0\0_1036.jpg
0,ISL_Dataset\custom_images\0\0_1037.jpg
0,ISL_Dataset\custom_images\0\0_1038.jpg
0,ISL_Dataset\custom_images\0\0_1039.jpg
0,ISL_Dataset\custom_images\0\0_104.jpg
0,ISL_Dataset\custom_images\0\0_1040.jpg
0,ISL_Dataset\custom_images\0\0_1041.jpg
0,ISL_Dataset\custom_images\0\0_1042.jpg
0,ISL_Dataset\custom_images\0\0_1043.jpg
0,ISL_Dataset\custom_images\0\0_1044.jpg
0,ISL_Dataset\custom_images\0\0_1045.jpg
0,ISL_Dataset\custom_images\0\0_1046.jpg
0,ISL_Dataset\custom_images\0\0_1047.jpg
0,ISL_Dataset\custom_images\0\0_1048.jpg
0,ISL_Dataset\custom_images\0\0_1049.jpg
0,ISL_Dataset\custom_images\0\0_105.jpg
0,ISL_Dataset\custom_images\0\0_1050.jpg
0,ISL_Dataset\custom_images\0\0_1051.jpg
0,ISL_Dataset\custom_images\0\0_1052.jpg
0,ISL_Dataset\custom_images\0\0_1053.jpg
0,ISL_Dataset\custom_images\0\0_1054.jpg
0,ISL_Dataset\custom_images\0\0_1055.jpg
0,ISL_Dataset\custom_images\0\0_1056.jpg
0,ISL_Dataset\custom_images\0\0_1057.jpg
0,ISL_Dataset\custom_images\0\0_1058.jpg
0,ISL_Dataset\custom_images\0\0_1059.jpg
0,ISL_Dataset\custom_images\0\0_106.jpg
0,ISL_Dataset\custom_images\0\0_1060.jpg
0,ISL_Dataset\custom_images\0\0_1061.jpg
0,ISL_Dataset\custom_images\0\0_1062.jpg
0,ISL_Dataset\custom_images\0\0_1063.jpg
0,ISL_Dataset\custom_images\0\0_1064.jpg
0,ISL_Dataset\custom_images\0\0_1065.jpg
0,ISL_Dataset\custom_images\0\0_1066.jpg
0,ISL_Dataset\custom_images\0\0_1067.jpg
0,ISL_Dataset\custom_images\0\0_1068.jpg
0,ISL_Dataset\custom_images\0\0_1069.jpg
0,ISL_Dataset\custom_images\0\0_107.jpg
0,ISL_Dataset\custom_images\0\0_1070.jpg
0,ISL_Dataset\custom_images\0\0_1071.jpg
0,ISL_Dataset\custom_images\0\0_1072.jpg
0,ISL_Dataset\custom_images\0\0_1073.jpg
0,ISL_Dataset\custom_images\0\0_1074.jpg
0,ISL_Dataset\custom_images\0\0_1075.jpg
0,ISL_Dataset\custom_images\0\0_1076.jpg
0,ISL_Dataset\custom_images\0\0_1077.jpg
0,ISL_Dataset\custom_images\0\0_1078.jpg
0,ISL_Dataset\custom_images\0\0_1079.jpg
0,ISL_Dataset\custom_images\0\0_108.jpg
0,ISL_Dataset\custom_images\0\0_1080.jpg
0,ISL_Dataset\custom_images\0\0_1081.jpg
0,ISL_Dataset\custom_images\0\0_1082.jpg
0,ISL_Dataset\custom_images\0\0_1083.jpg
0,ISL_Dataset\custom_images\0\0_1084.jpg
0,ISL_Dataset\custom_images\0\0_1085.jpg
0,ISL_Dataset\custom_images\0\0_1086.jpg
0,ISL_Dataset\custom_images\0\0_1087.jpg
0,ISL_Dataset\custom_images\0\0_1088.jpg
0,ISL_Dataset\custom_images\0\0_1089.jpg
0,ISL_Dataset\custom_images\0\0_109.jpg
